new_product_title,incoming_product_id,threepk,outgoing_product_id
Set the Pace 3 Item,614560006176,t,614559285280
Set the Pace 5 Item,614560006176,f,614560006176
All Star 3 Item,614493093920,t,614492864544
All Star 5 Item,614493093920,f,614493093920
After Dark - 3 Item,614492667936,t,614492536864
After Dark  - 5 Item,614492667936,f,614492667936
Running Wild - 3 Item,614555058208,t,614554992672
Running Wild - 5 Item,614555058208,f,614555058208
Wild Orchid 3 Item,746990338140,t,746990272604
Wild Orchid 5 Item,746990338140,f,746990338140
Skys the Limit 3 Item,746989617244,t,746989387868
Skys the Limit 5 Item,746989617244,f,746989617244
Back to Black - 3 Items,780276039772,t,780275974236
Back to Black - 5 Items,780276039772,f,780276039772
Weekend Warrior - 3 Items,780276367452,t,780276334684
Weekend Warrior - 5 Items,780276367452,f,780276367452
Seeing Stars -3 Items,1337218924636,t,1337218859100
Seeing Stars - 5 Items,1337218924636,f,1337218924636
Vitamin Sea - 3 Items,1337219219548,t,1337219186780
Vitamin Sea - 5 Items,1337219219548,f,1337219219548